股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
688316,青云科技-U,47785987.0,35930519.0,1867954231.8300002,1404523987.71,互联网服务,20210316
000793,华闻集团,1997245457.0,1961008615.0,3295455004.0499997,3235664214.75,文化传媒,19970729
300648,星云股份,147783896.0,95265302.0,3568981088.3999996,2300657043.2999997,电池,20170425
000710,贝瑞基因,353521465.0,304660675.0,3340777844.2499995,2879043378.75,医疗器械,19970422
002087,*ST新纺,816794335.0,815400552.0,824962278.35,823554557.52,纺织服装,20061130
688216,气派科技,107173500.0,43800000.0,1863747165.0,761682000.0,半导体,20210623
605303,园林股份,161237408.0,67984808.0,1426951060.8,601665550.8,工程建设,20210301
000965,天保基建,1109830895.0,1109830895.0,3396082538.7000003,3396082538.7000003,房地产开发,20000406
688416,恒烁股份,82637279.0,43823889.0,3508778866.34,1860762326.94,半导体,20220829
002114,罗平锌电,323395267.0,323390823.0,1830417211.22,1830392058.18,有色金属,20070215
603825,华扬联众,253336552.0,253336552.0,2584032830.3999996,2584032830.3999996,文化传媒,20170802
002480,新筑股份,769168670.0,767294084.0,3038216246.5,3030811631.8,通用设备,20100921
600281,华阳新材,514402025.0,514402025.0,1862135330.5,1862135330.5,小金属,20001109
600589,*ST榕泰,1478469890.0,1478469890.0,7096655472.0,7096655472.0,互联网服务,20010612
300511,雪榕生物,498780598.0,408237454.0,2049988257.7800002,1677855935.94,农牧饲渔,20160504
300300,海峡创新,666847062.0,666748362.0,2007209656.62,2006912569.62,互联网服务,20120319
300324,旋极信息,1727590595.0,1708553267.0,5182771785.0,5125659801.0,互联网服务,20120608
002234,民和股份,348960212.0,302577589.0,3838562332.0,3328353479.0,农牧饲渔,20080516
300799,*ST左江,102030000.0,67575000.0,1659007800.0000002,1098769500.0,软件开发,20191029
002189,中光学,261199273.0,261165228.0,4811290608.660001,4810663499.76,光学光电子,20071203
300972,万辰集团,172393247.0,75371732.0,5004575960.41,2188041379.96,农牧饲渔,20210419
002205,国统股份,185843228.0,185843228.0,1520197605.04,1520197605.04,水泥建材,20080123
600889,南京化纤,366346010.0,366346010.0,1652220505.1,1652220505.1,化纤行业,19960308
600333,长春燃气,609030684.0,609030684.0,2527477338.6000004,2527477338.6000004,燃气,20001211
688306,均普智能,1228282800.0,468182800.0,5564121084.0,2120868084.0,专用设备,20220322
600490,鹏欣资源,2212887079.0,1992621386.0,6306728175.150001,5678970950.1,有色金属,20030626
002425,凯撒文化,956665066.0,955985898.0,3424860936.28,3422429514.84,游戏,20100608
600076,康欣新材,1344543367.0,1344543367.0,2850431938.04,2850431938.04,装修建材,19970526
002298,中电兴发,740110901.0,639523879.0,4196428808.67,3626100393.93,软件开发,20090929
002513,蓝丰生化,373936278.0,263908145.0,1731324967.1399999,1221894711.35,农药兽药,20101203
300647,超频三,457321024.0,443574819.0,2172274864.0,2106980390.25,消费电子,20170503
300091,金通灵,1489164214.0,1335809696.0,3201703060.1,2871990846.4,通用设备,20100625
600290,*ST华仪,-,-,-,-,-,20001106
000158,常山北明,1598616721.0,1584286235.0,12357307253.33,12246532596.550001,综合行业,20000724
300846,首都在线,500462150.0,356425522.0,6215739903.0,4426804983.24,互联网服务,20200701
688197,首药控股-U,148719343.0,55766242.0,7913356241.03,2967321736.82,生物制品,20220323
688519,南亚新材,240941600.0,234751600.0,5120009000.0,4988471500.0,电子元件,20200818
605178,时空科技,99251600.0,99251600.0,1961211616.0000002,1961211616.0000002,装修装饰,20200821
688107,安路科技,400849367.0,192766339.0,10001191706.65,4809520158.05,半导体,20211112
002786,银宝山新,495612000.0,494112000.0,6031598040.0,6013343040.0,专用设备,20151223
688173,希荻微,409750733.0,238646853.0,5388222138.95,3138206116.9500003,半导体,20220121
300209,ST有棵树,422107330.0,394730143.0,1160795157.5,1085507893.25,软件开发,20110426
603843,正平股份,699623237.0,699623237.0,2126854640.48,2126854640.48,工程建设,20160905
000428,华天酒店,1018926000.0,1018882500.0,3494916180.0,3494766975.0,旅游酒店,19960808
300742,*ST越博,141297426.0,115168718.0,549646987.14,448006313.02000004,汽车零部件,20180508
300565,科信技术,249704612.0,188291935.0,3101331281.04,2338585832.7,通信设备,20161122
