,name,cname,symbol
2198,Compa帽铆a Cervecer铆as Unidas SA,清晰频道,CCU
2199,"Brinker International, Inc.",布林克国际,EAT
2200,Tessera Technologies,Tessera Technologies,TSRA
2201,John Hancock Multifactor Mid Cap ETF,John Hancock Multifactor Mid Cap ETF,JHMM
2202,Global X Robotics & Artificial Intelligence ETF,Global X Robotics & Artificial Intelligence ETF,BOTZ
2203,SPDR S&P 500 High Dividend ETF,SPDR S&P 500 High Dividend ETF,SPYD
2204,Cedar Fair LP,雪松娱乐,FUN
2205,Endava Plc,Endava Plc,DAVA
2206,Park National Corp.,Park National Corp.,PRK
2207,"ePlus, Inc.",正羽科技,PLUS
2208,Rogers Corp.,罗杰斯,ROG
2209,"Rocket Lab USA, Inc.","Rocket Lab USA, Inc.",RKLB
2210,"StoneX Group, Inc.","StoneX Group, Inc.",SNEX
2211,Pampa Energ铆a SA,Pampa Energ铆a SA,PAM
2212,"Astrana Health, Inc.","Astrana Health, Inc.",ASTH
2213,Fox Factory Holding Corp.,Fox Factory Holding Corp.,FOXF
2214,Lions Gate Entertainment Corp.,Lions Gate Entertainment Corp.,LGF.A
2215,"Trinity Industries, Inc.","Trinity Industries, Inc.",TRN
2216,"Laureate Education, Inc.","Laureate Education, Inc.",LAUR
2217,"Oasis Petroleum, Inc.","Oasis Petroleum, Inc.",OAS
2218,"Par Pacific Holdings, Inc.","Par Pacific Holdings, Inc.",PARR
2219,"PQ Group Holdings, Inc.","PQ Group Holdings, Inc.",PQG
2220,Atlantica Sustainable Infrastructure Plc,Atlantica Sustainable Infrastructure Plc,AY
2221,"Janus International Group, Inc.","Janus International Group, Inc.",JBI
2222,Seaspan Corp.,西斯班公司,SSW
2223,Callon Petroleum Co.,卡隆石油,CPE
2224,Seacoast Banking Corp. of Florida,Seacoast Banking Corp. of Florida,SBCF
2225,TransAlta Corp.,TransAlta Corp.,TAC
2226,"H&E Equipment Services, Inc.",HE设备服务,HEES
2227,Zions Bancorporation,Zions Bancorporation,ZIONZ
2228,iShares Core International Aggregate Bond ETF,iShares Core International Aggregate Bond ETF,IAGG
2229,CI Financial Corp.,CI Financial Corp.,CIXX
2230,Reaves Utility Income Fund,Reaves Utility Income Fund,UTG
2231,"Sweetgreen, Inc.","Sweetgreen, Inc.",SG
2232,"Tecnoglass, Inc.","Tecnoglass, Inc.",TGLS
2233,First Financial Bancorp (Ohio),第一金融银行股份,FFBC
2234,Fidelis Insurance Holdings Ltd.,Fidelis Insurance Holdings Ltd.,FIHL
2235,"Boston Private Financial Holdings, Inc.","Boston Private Financial Holdings, Inc.",BPFHP
2236,"Akero Therapeutics, Inc.","Akero Therapeutics, Inc.",AKRO
2237,"Cohen & Steers Infrastructure Fund, Inc.","Cohen & Steers Infrastructure Fund, Inc.",UTF
2238,"MB Financial, Inc.","MB Financial, Inc.",MBFIP
2239,"Sana Biotechnology, Inc.","Sana Biotechnology, Inc.",SANA
2240,"Agilysys, Inc.",诶吉利斯公司,AGYS
2241,Star Bulk Carriers Corp.,Star Bulk Carriers Corp.,SBLK
2242,"Arhaus, Inc.","Arhaus, Inc.",ARHS
2243,"Straight Path Communications, Inc.","Straight Path Communications, Inc.",STRP
2244,"NRG Yield, Inc.","NRG Yield, Inc.",NYLD
2245,Invesco Buyback Achievers ETF,景顺 回购分红 ETF,PKW
2246,"Cinemark Holdings, Inc.",喜满客影城,CNK
2247,"Opendoor Technologies, Inc.","OpenTable, Inc.",OPEN
2248,"Lightspeed Commerce, Inc.","Lightspeed Commerce, Inc.",LSPD
2249,SPDR Portfolio Small Cap ETF,SPDR Portfolio Small Cap ETF,SPSM
2250,Enlight Renewable Energy Ltd.,Enlight Renewable Energy Ltd.,ENLT
2251,Xerox Holdings Corp.,施乐公司,XRX
2252,"Oceaneering International, Inc.",国际海洋工程,OII
2253,SiriusPoint Ltd.,SiriusPoint Ltd.,SPNT
2254,"Ultra Clean Holdings, Inc.",超科林半导体,UCTT
2255,Ardagh Metal Packaging SA,Ardagh Metal Packaging SA,AMBP
2256,Eaton Vance Tax-Managed Diversified Equity Income Fund,Eaton Vance Tax-Managed Diversified Equity Income Fund,ETY
2257,Textainer Group Holdings Ltd.,Textainer Group Holdings Ltd.,TGH
2258,"Hilltop Holdings, Inc.",希尔托普控股,HTH
2259,TowneBank,TowneBank,TOWN
2260,"BofI Holding, Inc.",BofI控股,BOFI
2261,"Dyne Therapeutics, Inc.",戴纳基,DYN
2262,"MB Financial, Inc.","MB Financial, Inc.",MBFIO
2263,"Energizer Holdings, Inc.",劲量控股,ENR
2264,Senior Housing Properties Trust,Senior Housing Properties Trust,SNHNL
2265,Tennant Co.,坦能,TNC
2266,First Merchants Corp. (Indiana),第一招商股份,FRME
2267,Standex International Corp.,Standex International Corp.,SXI
2268,Goldman Sachs ActiveBeta International Equity ETF,Goldman Sachs ActiveBeta International Equity ETF,GSIE
2269,"BankUnited, Inc.","BankUnited, Inc.",BKU
2270,SolarWinds Corp.,SolarWinds Corp.,SWI
2271,"Myriad Genetics, Inc.",万基遗传,MYGN
2272,Global X Metaverse ETF,Global X Metaverse ETF,VR
2273,Invesco S&P SmallCap Low Volatility ETF,Invesco S&P SmallCap Low Volatility ETF,XSLV
2274,"John Wiley & Sons, Inc.","John Wiley & Sons, Inc.",WLY
2275,HNI Corp.,HNI Corp.,HNI
2276,"Kennametal, Inc.",肯纳金属,KMT
2277,DiamondRock Hospitality Co.,DiamondRock Hospitality Co.,DRH
2278,The Gabelli Dividend & Income Trust,GDV股息收入基金,GDV
2279,"Veeco Instruments, Inc.","Veeco Instruments, Inc.",VECO
2280,Lions Gate Entertainment Corp.,Lions Gate Entertainment Corp.,LGF.B
2281,SPDR S&P 400 Mid Cap Value ETF,SPDR S&P 400 Mid Cap Value ETF,MDYV
2282,Urban Edge Properties,Urban Edge Properties,UE
2283,"Tandem Diabetes Care, Inc.","Tandem Diabetes Care, Inc.",TNDM
2284,"Janux Therapeutics, Inc.","Janux Therapeutics, Inc.",JANX
2285,"John Wiley & Sons, Inc.","John Wiley & Sons, Inc.",WLYB
2286,Equity Commonwealth,Equity Commonwealth,EQC
2287,Expro Group Holdings NV,Expro Group Holdings NV,XPRO
2288,Federal Agricultural Mortgage Corp.,联邦农业抵押贷款公司,AGM
2289,Senior Housing Properties Trust,Senior Housing Properties Trust,SNH
2290,"NeoGenomics, Inc.","NeoGenomics, Inc.",NEO
2291,"Rover Group, Inc.","Rover Group, Inc.",ROVR
2292,"eXp World Holdings, Inc.","eXp World Holdings, Inc.",EXPI
2293,"Atmus Filtration Technologies, Inc.","Atmus Filtration Technologies, Inc.",ATMU
2294,Invesco DB Commodity Index Tracking Fund,商品指数ETF-PowerShares DB,DBC
2295,"TreeHouse Foods, Inc.",树屋食品,THS
2296,Cott Corp. (Canada),考特,COT
2297,ALPS Sector Dividend Dogs ETF,ALPS 行业高收益精选 ETF,SDOG
2298,Direxion Daily S&P 500 Bull 3x Shares,Direxion Daily S&P 500 Bull 3x Shares,SPXL
2299,"Kodiak Gas Services, Inc.","Kodiak Gas Services, Inc.",KGS
2300,Embotelladora Andina SA,Embotelladora Andina SA,AKO.A
2301,"Schr枚dinger, Inc.","Schr枚dinger, Inc.",SDGR
2302,"Owens & Minor, Inc.",欧麦斯-麦能医疗,OMI
2303,"Adtalem Global Education, Inc.","Adtalem Global Education, Inc.",ATGE
2304,"Hanesbrands, Inc.",哈尼斯品牌服装,HBI
2305,Stepan Co.,Stepan Co.,SCL
2306,Invesco National AMT-Free Municipal Bond ETF,Invesco National AMT-Free Municipal Bond ETF,PZA
2307,PIMCO Corporate & Income Opportunity Fund,太平洋投资管理成长基金,PTY
2308,Crescent Energy Co.,Crescent Energy Co.,CRGY
2309,Pebblebrook Hotel Trust,Pebblebrook Hotel Trust,PEB
2310,LATAM Airlines Group SA,LATAM Airlines Group SA,LTM
2311,"Verint Systems, Inc.","Verint Systems, Inc.",VRNT
2312,"RxSight, Inc.","RxSight, Inc.",RXST
2313,SPDR MSCI ACWI ex-US ETF,SPDR MSCI全球-除美国 ETF,CWI
2314,"Array Technologies, Inc.","Array Technologies, Inc.",ARRY
2315,"Getty Images Holdings, Inc.","Getty Images Holdings, Inc.",GETY
2316,"Sixth Street Specialty Lending, Inc.","Sixth Street Specialty Lending, Inc.",TSLX
2317,"Maravai Lifesciences Holdings, Inc.","Maravai Lifesciences Holdings, Inc.",MRVI
2318,"The Buckle, Inc.",巴克尔,BKE
2319,"The Bancorp, Inc. (Delaware)","The Bancorp, Inc. (Delaware)",TBBK
2320,"Bread Financial Holdings, Inc.","Bread Financial Holdings, Inc.",BFH
2321,Edgewell Personal Care Co.,Edgewell Personal Care Co.,EPC
2322,"Catalyst Pharmaceuticals, Inc.","Catalyst Pharmaceuticals, Inc.",CPRX
2323,"Biglari Holdings, Inc.","Biglari Holdings, Inc.",BH.A
2324,"Barnes Group, Inc.",巴恩斯集团,B
2325,Bowlero Corp.,Bowlero Corp.,BOWL
2326,SPDR Bloomberg Barclays Intermediate Term Treasury ETF,SPDR 彭博巴克莱中期国债 ETF,ITE
2327,RLJ Lodging Trust,RLJ Lodging Trust,RLJ
2328,"Qurate Retail, Inc.","Qurate Retail, Inc.",QRTEB
2329,Embecta Corp.,Embecta Corp.,EMBCV
2330,"BRP Group, Inc.","BRP Group, Inc.",BRP
2331,Hillman Solutions Corp.,Hillman Solutions Corp.,HLMN
2332,Digital World Acquisition Corp.,Digital World Acquisition Corp.,DWACU
2333,"Cheesecake Factory, Inc.",起司工坊,CAKE
2334,The ODP Corp.,欧迪办公,ODP
2335,Invesco Russell 1000 Dynamic Multifactor ETF,Invesco Russell 1000 Dynamic Multifactor ETF,OMFL
2336,"Winnebago Industries, Inc.","Winnebago Industries, Inc.",WGO
2337,"HighPeak Energy, Inc.","HighPeak Energy, Inc.",HPK
2338,VEON Ltd.,VEON Ltd.,VEON
2339,iShares Intermediate Government/Credit Bond ETF,iShares Intermediate Government/Credit Bond ETF,GVI
2340,iShares 0-5 Year Investment Grade Corporate Bond ETF,iShares 0-5年投资级公司债券 ETF,SLQD
2341,Zai Lab Ltd.,再鼎医药,ZLAB
2342,"Independent Bank Group, Inc.","Independent Bank Group, Inc.",IBTX
2343,"Fastly, Inc.","Fastly, Inc.",FSLY
2344,NewAmsterdam Pharma Co. NV,NewAmsterdam Pharma Co. NV,NAMS
2345,"Forestar Group, Inc.",福里斯特,FOR
2346,SFL Corp. Ltd.,SFL Corp. Ltd.,SFL
2347,"Morphic Holding, Inc.",Morphic Holding,MORF
2348,Afya Ltd.,Afya,AFYA
2349,Vanguard S&P 500 Value ETF,Vanguard S&P 500 Value ETF,VOOV
2350,"The Andersons, Inc.",安德森斯有限公司,ANDE
2351,"Apollo Medical Holdings, Inc.","Apollo Medical Holdings, Inc.",AMEH
2352,Navient Corp.,Navient Corp.,NAVI
2353,"Vista Outdoor, Inc.","Vista Outdoor, Inc.",VSTO
2354,InMode Ltd.,InMode Ltd.,INMD
2355,Compass Diversified Holdings,Compass Diversified Holdings,CODI
2356,Blue Owl Capital Corp III,Blue Owl Capital Corp III,OBDE
2357,"Gaotu Techedu, Inc.",高途,GOTU
2358,"Mercury Systems, Inc.","Mercury Systems, Inc.",MRCY
2359,Liberty All-Star Equity Fund,Liberty All-Star Equity Fund,USA
2360,Criteo SA,Criteo SA,CRTO
2361,Daqo New Energy Corp.,大全新能源,DQ
2362,"ACM Research, Inc.","ACM Research, Inc.",ACMR
2363,SJW Group,SJW Group,SJW
2364,"NET Power, Inc.","NET Power, Inc.",NPWR
2365,"Brookfield Property REIT, Inc.",Brookfield优先股,BPRAP
2366,"Lumen Technologies, Inc. (Louisiana)","Lumen Technologies, Inc. (Louisiana)",LUMN
2367,Compass  Inc.,Compass  Inc.,COMP
2368,"Donnelley Financial Solutions, Inc.","Donnelley Financial Solutions, Inc.",DFIN
2369,Teekay Tankers Ltd.,Teekay Tankers Ltd.,TNK
2370,"Upbound Group, Inc.","Upbound Group, Inc.",UPBD
2371,"Vital Energy, Inc.","Vital Energy, Inc.",VTLE
2372,"Photronics, Inc.",福尼克斯,PLAB
2373,Invesco S&P Ultra Dividend Revenue ETF,Invesco S&P Ultra Dividend Revenue ETF,RDIV
2374,Aberdeen Standard Physical Swiss Gold Shares ETF,Aberdeen Standard Physical Swiss Gold Shares ETF,SGOL
2375,Transportadora de Gas del Sur SA,Transportadora de Gas del Sur SA,TGS
2376,"MGP Ingredients, Inc.","MGP Ingredients, Inc.",MGPI
2377,Madison Square Garden Entertainment Corp.,Madison Square Garden Entertainment Corp.,MSGE
2378,Enerpac Tool Group Corp.,Enerpac Tool Group Corp.,EPAC
2379,"Nuveen Municipal Value Fund, Inc.",纽文市政价值基金,NUV
2380,"SoundHound AI, Inc.","SoundHound AI, Inc.",SOUN
2381,"Powell Industries, Inc.","Powell Industries, Inc.",POWL
2382,"American Healthcare REIT, Inc.","American Healthcare REIT, Inc.",AHR
2383,"Huron Consulting Group, Inc.",休伦咨询,HURN
2384,"Telephone & Data Systems, Inc.",美国电话数据系统公司,TDS
2385,"EverCommerce, Inc.","EverCommerce, Inc.",EVCM
2386,"AZZ, Inc.",宜易贸易有限公司,AZZ
2387,Monmouth Real Estate Investment Corp.,Monmouth Real Estate Investment Corp.,MNR
2388,"JOYY, Inc.",欢聚集团,YY
2389,BlackRock Health Sciences Term Trust,BlackRock Health Sciences Term Trust,BMEZ
2390,"Shutterstock, Inc.","Shutterstock, Inc.",SSTK
2391,"Kura Oncology, Inc.","Kura Oncology, Inc.",KURA
2392,Simplify High Yield PLUS Credit Hedge ETF,Simplify High Yield PLUS Credit Hedge ETF,CDX
2393,"Enova International, Inc.","Enova International, Inc.",ENVA
2394,"DHT Holdings, Inc.",DHT控股,DHT
2395,Invesco BulletShares 2020 Corporate Bond ETF,Invesco BulletShares 2020 Corporate Bond ETF,BSCK
2396,Baytex Energy Corp.,Baytex能源信托,BTE
2397,Morgan Stanley Direct Lending Fund,Morgan Stanley Direct Lending Fund,MSDL
2398,"Vermilion Energy, Inc.","Vermilion Energy, Inc.",VET
2399,"Virtus Investment Partners, Inc.","Virtus Investment Partners, Inc.",VRTS
2400,"Ambrx Biopharma, Inc.","Ambrx Biopharma, Inc.",AMAM
2401,SPDR Portfolio Short Term Treasury ETF,SPDR Portfolio Short Term Treasury ETF,SPTS
2402,"Sonic Automotive, Inc.",索尼克汽车,SAH
2403,"Weis Markets, Inc.","Weis Markets, Inc.",WMK
2404,Renasant Corp.,Renasant Corp.,RNST
2405,SPDR S&P Regional Banking ETF,区域银行指数ETF-SPDR KBW,KRE
2406,"Protagonist Therapeutics, Inc.","Protagonist Therapeutics, Inc.",PTGX
2407,"Alphatec Holdings, Inc.",ALPHATEC控股公司,ATEC
2408,"DSW, Inc.",DSW鞋类专卖,DSW
2409,"National Western Life Group, Inc.",国家西方人寿保险,NWLI
2410,"Harmony Biosciences Holdings, Inc.","Harmony Biosciences Holdings, Inc.",HRMY
2411,First Trust NASDAQ Technology Dividend Index Fund,First Trust NASDAQ Technology Dividend Index Fund,TDIV
2412,ARK Innovation ETF,ARK Innovation ETF,ARKK
2413,OFG Bancorp,OFG Bancorp,OFG
2414,"Dana, Inc.",达纳,DAN
2415,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc.",AGIO
2416,"Gentherm, Inc.","Gentherm, Inc.",THRM
2417,Vector Group Ltd.,Vector Group Ltd.,VGR
2418,STAAR Surgical Co.,STAAR Surgical Co.,STAA
2419,"Plantronics, Inc.","Plantronics, Inc.",POLY
2420,"WesBanco, Inc.","WesBanco, Inc.",WSBC
2421,Invesco BulletShares 2021 Corporate Bond ETF,Invesco BulletShares 2021 Corporate Bond ETF,BSCL
2422,"Triumph Financial, Inc.","Triumph Financial, Inc.",TFIN
2423,Super Group (SGHC) Ltd.,Super Group (SGHC) Ltd.,SGHC
2424,"Excelerate Energy, Inc.","Excelerate Energy, Inc.",EE
2425,WisdomTree India Earnings Fund,印度收入指数ETF-WisdomTree,EPI
2426,BlackRock ESG Capital Allocation Term Trust,BlackRock ESG Capital Allocation Term Trust,ECAT
2427,JPMorgan Ultra-Short Income ETF,JPMorgan Ultra-Short Income ETF,JPST
2428,"Udemy, Inc.","Udemy, Inc.",UDMY
2429,"Columbia Financial, Inc.","Columbia Financial, Inc.",CLBK
2430,"OPENLANE, Inc.",KAR车行,KAR
2431,"Bonanza Creek Energy, Inc.",富矿溪能源,BCEI
2432,Lakeland Financial Corp. (Indiana),莱克兰金融,LKFN
2433,VanEck Vectors AMT-Free Intermediate Municipal Index ETF,VanEck Vectors 免AMT中期国债 ETF,ITM
2434,"PC Connection, Inc.","PC Connection, Inc.",CNXN
2435,First Trust Large Cap Growth AlphaDEX Fund,First Trust Large Cap Growth AlphaDEX Fund,FTC
2436,First Trust Rising Dividend Achievers ETF,First Trust Rising Dividend Achievers ETF,RDVY
2437,"Customers Bancorp, Inc.","Customers Bancorp, Inc.",CUBI
2438,"Cornerstone Strategic Value Fund, Inc.","Cornerstone Strategic Value Fund, Inc.",CLM
2439,NCR Voyix Corp.,NCR Voyix Corp.,VYX
2440,"AtriCure, Inc.",AtriCure公司,ATRC
2441,"MaxLinear, Inc.","MaxLinear, Inc.",MXL
2442,FB Financial Corp.,FB Financial Corp.,FBK
2443,Dynavax Technologies Corp.,德纳维制药,DVAX
2444,Sphere Entertainment Co.,Sphere Entertainment Co.,SPHR
2445,"Avidity Biosciences, Inc.","Avidity Biosciences, Inc.",RNA
2446,BlackRock Capital Allocation Term Trust,BlackRock Capital Allocation Term Trust,BCAT
2447,Eaton Vance Tax-Advantaged Dividend Income Fund,Eaton Vance Tax-Advantaged Dividend Income Fund,EVT
2448,"Structure Therapeutics, Inc.","Structure Therapeutics, Inc.",GPCR
2449,"Global Net Lease, Inc.","Global Net Lease, Inc.",GNL
2450,Global Industrial Co.,Global Industrial Co.,GIC
2451,"Veracyte, Inc.","Veracyte, Inc.",VCYT
2452,Delek Logistics Partners LP,Delek Logistics Partners LP,DKL
2453,"BGC Partners, Inc.","BGC Partners, Inc.",BGCP
2454,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",GSBD
2455,"Supernus Pharmaceuticals, Inc.","Supernus Pharmaceuticals, Inc.",SUPN
2456,InvenTrust Properties Corp.,InvenTrust Properties Corp.,IVT
2457,FlexShares STOXX Global Broad Infrastructure Index Fund,FlexShares STOXX Global Broad Infrastructure Index Fund,NFRA
2458,iShares ESG Aware MSCIi EAFE ETF,iShares ESG Aware MSCIi EAFE ETF,ESGD
2459,"Delek US Holdings, Inc.","Delek US Holdings, Inc.",DK
2460,"Payoneer Global, Inc.","Payoneer Global, Inc.",PAYO
2461,VTEX (Cayman Islands),VTEX (Cayman Islands),VTEX
2462,Acadia Realty Trust,阿卡迪亚房地产信托,AKR
2463,OM Asset Management Plc,OM Asset Management Plc,OMAM
2464,"Wheels Up Experience, Inc.","Wheels Up Experience, Inc.",UP
2465,"Inhibrx, Inc.","Inhibrx, Inc.",INBX
2466,Stewart Information Services Corp.,Stewart Information Services Corp.,STC
2467,Sapiens International Corp. NV,Sapiens International Corp. NV,SPNS
2468,VanEck Fallen Angel High Yield Bond ETF,VanEck Fallen Angel High Yield Bond ETF,ANGL
2469,"PROS Holdings, Inc.","PROS Holdings, Inc.",PRO
2470,"CoreCivic, Inc.","CoreCivic, Inc.",CXW
2471,Mack-Cali Realty Corp.,麦克凯利房地产,CLI
2472,Ingevity Corp.,Ingevity Corp.,NGVT
2473,SPDR S&P Homebuilders ETF,房屋建筑商指数ETF-SPDR,XHB
2474,"LiveWire Group, Inc.","LiveWire Group, Inc.",LVWR
2475,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,高盛 ActiveBeta新兴市场股票 ETF,GEM
2476,iShares Global REIT ETF,iShares 环球房地产投资信托 ETF,REET
2477,iShares Morningstar Large-Cap Growth ETF,iShares Morningstar Large-Cap Growth ETF,JKE
2478,Addus HomeCare Corp.,爱德斯,ADUS
2479,Federal Agricultural Mortgage Corp.,联邦农业抵押贷款,AGM.A
2480,iShares Core U.S. REIT ETF,iShares Core U.S. REIT ETF,USRT
2481,"Sinopec Shanghai Petrochemical Co., Ltd.",上海石油化工股份,SHI
2482,"NBT Bancorp, Inc.","NBT Bancorp, Inc.",NBTB
2483,Retail Opportunity Investments Corp.,Retail Opportunity Investments Corp.,ROIC
2484,"Amneal Pharmaceuticals, Inc.","Amneal Pharmaceuticals, Inc.",AMRX
2485,"Oxford Industries, Inc.",牛津工业,OXM
2486,Trustmark Corp.,Trustmark Corp.,TRMK
2487,"SEMrush Holdings, Inc.","SEMrush Holdings, Inc.",SEMR
2488,Borr Drilling Ltd.,Borr Drilling Ltd.,BORR
2489,"Frontier Group Holdings, Inc.","Frontier Group Holdings, Inc.",ULCC
2490,Vicor Corp.,Vicor Corp.,VICR
2491,"United States Lime & Minerals, Inc.","United States Lime & Minerals, Inc.",USLM
2492,Denison Mines Corp.,Denison Mines Corp.,DNN
2493,SPDR Portfolio TIPS ETF,SPDR Portfolio TIPS ETF,SPIP
2494,"Grindr, Inc.","Grindr, Inc.",GRND
2495,"Arcus Biosciences, Inc.","Arcus Biosciences, Inc.",RCUS
2496,"Gabelli Equity Trust, Inc.",加贝利资产信托有限,GAB
2497,Grupo Televisa SAB,墨西哥电视,TV
2498,Ensco Rowan Plc,恩斯克,ESV
2499,Golar LNG Partners LP,Golar LNG Partners LP,GMLPP
2500,"RPC, Inc.","RPC, Inc.",RES
2501,"Royce Value Trust, Inc.","Royce Value Trust, Inc.",RVT
2502,Invesco FTSE RAFI US 1000 ETF,景顺 富时RAFI美国1000 ETF,PRF
2503,"Cohen & Steers Quality Income Realty Fund, Inc.","Cohen & Steers Quality Income Realty Fund, Inc.",RQI
2504,Prothena Corp. Plc,Prothena Corp. Plc,PRTA
2505,"GCM Grosvenor, Inc.","GCM Grosvenor, Inc.",GCMG
2506,"Magnite, Inc.","Magnite, Inc.",MGNI
2507,First Trust Senior Loan Fund,First Trust 高级贷款 ETF,FTSL
2508,Synergy Resources Corp,Synergy Resources Corp,SYRG
2509,BlackBerry Ltd.,黑莓公司,BB
2510,Global Partners LP,伙伴全球,GLP
2511,Tri-Continental Corp.,Tri-Continental Corp.,TY
2512,Nuveen California Quality Municipal Income Fund,NAC股息基金,NAC
2513,Star Bulk Carriers Corp.,Star Bulk Carriers Corp.,SBLKZ
2514,First Trust Capital Strength ETF,First Trust Capital Strength ETF,FTCS
2515,JBG SMITH Properties,JBG SMITH Properties,JBGS
2516,"Beyond, Inc.","Beyond, Inc.",BYON
2517,SPDR S&P 600 Small Cap ETF,SPDR S&P 600 Small Cap ETF,SLY
2518,Banner Corp.,旗帜集团,BANR
2519,WisdomTree International SmallCap Dividend Fund,WisdomTree International SmallCap Dividend Fund,DLS
2520,"Edgewise Therapeutics, Inc.","Edgewise Therapeutics, Inc.",EWTX
2521,Vanguard S&P Mid-Cap 400 ETF,Vanguard S&P Mid-Cap 400 ETF,IVOO
2522,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",ESRT
2523,"Cannae Holdings, Inc.","Cannae Holdings, Inc.",CNNE
2524,"Greenbrier Cos., Inc.",格林布赖尔,GBX
2525,ROBO Global Robotics & Automation Index ETF,Robo-Stox全球机器人及自动化股指数ETF,ROBO
2526,"Kayne Anderson Energy Infrastructure Fund, Inc.",KYN投资基金,KYN
2527,Vanguard Emerging Markets Government Bond ETF,Vanguard新兴市场美元政府债指数ETF,VWOB
2528,"Docebo, Inc.","Docebo, Inc.",DCBO
2529,"U.S. Physical Therapy, Inc.","U.S. Physical Therapy, Inc.",USPH
2530,Taro Pharmaceutical Industries Ltd.,Taro Pharmaceutical Industries Ltd.,TARO
2531,HollySys Automation Technologies Ltd.,和利时公司,HOLI
2532,"Xenia Hotels & Resorts, Inc.","Xenia Hotels & Resorts, Inc.",XHR
2533,"Disc Medicine, Inc.","Disc Medicine, Inc.",IRON
2534,"Cracker Barrel Old Country Store, Inc.",CB乡村店,CBRL
2535,Government Properties Income Trust,Government Properties Income Trust,GOVNI
2536,Invesco Variable Rate Preferred ETF,景顺 可变利率优先股 ETF,VRP
2537,Vanguard S&P Small-Cap 600 ETF,Vanguard S&P Small-Cap 600 ETF,VIOO
2538,"PHINIA, Inc.","PHINIA, Inc.",PHIN
2539,Hamilton Insurance Group Ltd.,Hamilton Insurance Group Ltd.,HG
2540,WisdomTree U.S. MidCap Earnings Fund,WisdomTree U.S. MidCap Earnings Fund,EZM
2541,"NV5 Global, Inc.","NV5 Global, Inc.",NVEE
2542,Vi帽a Concha y Toro SA,智利干露酒庄,VCO
2543,"Apollo Commercial Real Estate Finance, Inc.",阿波罗商业房地产金融公司,ARI
2544,"Uniti Group, Inc.","Uniti Group, Inc.",UNIT
2545,First Trust NASDAQ CEA Cybersecurity ETF,First Trust 纳斯达克网络安全 ETF,CIBR
2546,"JELD-WEN Holding, Inc.","JELD-WEN Holding, Inc.",JELD
2547,Smith Douglas Homes Corp.,Smith Douglas Homes Corp.,SDHC
2548,"DNOW, Inc.","DNOW, Inc.",DNOW
2549,"CSG Systems International, Inc.",CSG系统国际,CSGS
2550,"La-Z-Boy, Inc.",La-Z-Boy家具,LZB
2551,Brookfield Business Partners LP,Brookfield Business Partners LP,BBU
2552,Oaktree Specialty Lending Corp.,Oaktree Specialty Lending Corp.,OCSL
2553,Invesco S&P 500 Revenue ETF,奥本海默 大盘收益 ETF,RWL
2554,"BrightSpring Health Services, Inc.","BrightSpring Health Services, Inc.",BTSG
2555,Brookfield Asset Management Reinsurance Partners Ltd.,Brookfield Asset Management Reinsurance Partners Ltd.,BAMR
2556,City Holding Co.,City Holding Co.,CHCO
2557,IAMGOLD Corp.,IAMGOLD Corp.,IAG
2558,"NetScout Systems, Inc.",网侦系统,NTCT
2559,ProShares Nanotechnology ETF,ProShares Nanotechnology ETF,TINY
2560,Cadeler A/S,Cadeler A/S,CDLR
2561,Invesco BulletShares 2022 Corporate Bond ETF,Invesco BulletShares 2022 Corporate Bond ETF,BSCM
2562,Gazit-Globe Ltd.,Gazit-Globe Ltd.,GZT
2563,Marten Transport Ltd.,马尔登运输,MRTN
2564,Washington Real Estate Investment Trust,Washington Real Estate Investment Trust,WRE
2565,Enovix Corp.,Enovix Corp.,ENVX
2566,"TTM Technologies, Inc.",TTM科技,TTMI
2567,"UFP Technologies, Inc.","UFP Technologies, Inc.",UFPT
2568,Dorian LPG Ltd.,Dorian LPG Ltd.,LPG
2569,"Extreme Networks, Inc.",极速网络,EXTR
2570,First Majestic Silver Corp.,First Majestic Silver Corp.,AG
2571,Integral Ad Science Holding Corp.,Integral Ad Science Holding Corp.,IAS
2572,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,ETV
2573,BlackRock Enhanced Equity Dividend Trust,BlackRock Enhanced Equity Dividend Trust,BDJ
2574,American Woodmark Corp.,美国伍德马克公司,AMWD
2575,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,HYS
2576,Equinox Gold Corp.,Equinox Gold Corp.,EQX
2577,Invesco Aerospace & Defense ETF,景顺 航空航天与国防 ETF,PPA
2578,Lufax Holding Ltd.,陆金所控股,LU
2579,"ClearBridge MLP & Midstream Total Return Fund, Inc.","ClearBridge MLP & Midstream Total Return Fund, Inc.",CTR
2580,First Trust Large Cap Value AlphaDEX Fund,First Trust Large Cap Value AlphaDEX Fund,FTA
2581,Kimbell Royalty Partners LP,Kimbell Royalty Partners LP,KRP
2582,Ready Capital Corp.,Ready Capital Corp.,RC
2583,"Stagwell, Inc.","Stagwell, Inc.",STGW
