股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
601059,信达证券,3243000000.0,691600000.0,49455750000.0,10546900000.0,证券,20230201
600875,东方电气,3117499457.0,2023304059.0,49350016404.31,32028903253.97,电源设备,19951010
002625,光启技术,2154587862.0,1777221610.0,49318516161.18,40680602652.9,专用设备,20111103
002916,深南电路,512877535.0,510834539.0,49184955606.5,48989032290.100006,电子元件,20171213
000807,云铝股份,3467957405.0,3467907951.0,48967558558.6,48966860268.119995,有色金属,19980408
002422,科伦药业,1601592173.0,1306947398.0,48656370215.74,39705061951.24,化学制药,20100603
688506,百利天恒-U,401000000.0,90450990.0,48533030000.0,10947283319.7,生物制品,20230106
603986,兆易创新,666906348.0,664486267.0,48310695849.119995,48135385181.479996,半导体,20160818
600415,小商品城,5484334176.0,5469530026.0,48262140748.8,48131864228.8,商业百货,20020509
600256,广汇能源,6565755139.0,6565755139.0,48126985168.87,48126985168.87,石油行业,20000526
600522,中天科技,3412949652.0,3412949652.0,48122590093.2,48122590093.2,通信设备,20021024
601377,兴业证券,8635987294.0,8635987294.0,47929729481.7,47929729481.7,证券,20101013
002252,上海莱士,6645480758.0,6642830858.0,47515187419.700005,47496240634.700005,生物制品,20080623
601298,青岛港,6491100000.0,5392075000.0,47514852000.0,39469989000.0,航运港口,20190121
600332,白云山,1625790949.0,1405890949.0,47391806163.35,40981721163.35,中药,20010206
300413,芒果超媒,1870720815.0,1021699958.0,47291822203.200005,25828574938.24,文化传媒,20150121
002032,苏 泊 尔,806708657.0,804569840.0,47216657694.21,47091472735.200005,家电行业,20040817
600918,中泰证券,6968625756.0,3972809819.0,46829165080.32,26697281983.68,证券,20200603
688472,阿特斯,3688217324.0,448446010.0,46766595668.32,5686295406.8,光伏设备,20230609
600066,宇通客车,2213939223.0,2213939223.0,46581281251.92,46581281251.92,汽车整车,19970508
600745,闻泰科技,1242809481.0,1242809481.0,46481074589.4,46481074589.4,消费电子,19960828
002601,龙佰集团,2386293256.0,1486503958.0,46413403829.2,28912501983.1,化学原料,20110715
600236,桂冠电力,7882377802.0,7882377802.0,46348381475.76,46348381475.76,电力行业,20000323
300347,泰格医药,872418220.0,577606376.0,46325407482.0,30670898565.600002,医疗服务,20120817
300316,晶盛机电,1309533797.0,1231555433.0,46043208302.52,43301489024.28,光伏设备,20120511
002028,思源电气,773253532.0,601023036.0,45792074165.04,35592584191.92,电网设备,20040805
000933,神火股份,2249708409.0,2238465339.0,45601589450.43,45373692421.53,有色金属,19990831
600733,北汽蓝谷,5573503169.0,4539667204.0,45591255922.42,37134477728.72,汽车整车,19960816
601598,中国外运,7294216875.0,5255916875.0,45515913300.0,32796921300.0,物流行业,20190118
601168,西部矿业,2383000000.0,2383000000.0,45467639999.99999,45467639999.99999,有色金属,20070712
688728,格科微,2600586667.0,1114199673.0,45458254939.16,19476210284.04,半导体,20210818
001872,招商港口,2499074661.0,1742469694.0,45408186590.37,31660674339.980003,航运港口,19930505
301236,软通动力,952941177.0,680315389.0,45312352966.35,32348996746.949997,软件开发,20220315
301269,华大九天,542941768.0,267447446.0,45042449073.28,22187440120.16,软件开发,20220729
600482,中国动力,2186718355.0,2186718355.0,44937062195.25,44937062195.25,船舶制造,20040714
600176,中国巨石,4003136728.0,4003136728.0,44835131353.6,44835131353.6,玻璃玻纤,19990422
002709,天赐材料,1924156740.0,1384886778.0,44640436368.0,32129373249.6,化学制品,20140123
300765,新诺威,1170742154.0,1039475062.0,44546738959.7,39552026109.1,食品饮料,20190322
688169,石头科技,131477470.0,131477470.0,44302648291.2,44302648291.2,家电行业,20200221
600570,恒生电子,1900006442.0,1900006442.0,44213149905.34,44213149905.34,软件开发,20031216
600161,天坛生物,1647809538.0,1647809538.0,44161295618.4,44161295618.4,生物制品,19980616
600985,淮北矿业,2691646771.0,2691646771.0,44008424705.850006,44008424705.850006,煤炭行业,20040428
600612,老凤祥,523117764.0,317109630.0,43920967465.439995,26624524534.8,珠宝首饰,19920814
601877,正泰电器,2148968976.0,2148968976.0,43860456800.16,43860456800.16,电网设备,20100121
000876,新 希 望,4545777038.0,4511189459.0,43775832875.94,43442754490.170006,农牧饲渔,19980311
000921,海信家电,1387935370.0,902831392.0,43719964155.0,28439188848.0,家电行业,19990713
